
# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:10:49
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
24	54.58380000000002	1.0921092371437955	1315434848377	1315434858795

########################################
# SR ParallelExecute for /192.168.0.2:3100
#  Repeat Count = 100
# Client Configuration @2011-09-08 06:34:18
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	101.40100000000001	0.4560779217470377	1315434859100	1315434869254
2	51.295	0.4276137689012266	1315434869254	1315434874399
3	34.457500000000046	0.27261314951716087	1315434874399	1315434877902
4	26.19679999999999	0.3299674915124228	1315434877902	1315434880537
5	21.260400000000008	0.4691232312093387	1315434880537	1315434882694
6	17.877899999999997	0.3060411770011896	1315434882694	1315434884541
7	15.6195	0.32343914232490406	1315434884541	1315434886166
8	13.8673	0.4175683697724873	1315434886166	1315434887595
9	12.473799999999994	0.3958031854549853	1315434887595	1315434888887
10	11.324399999999999	0.30976472009922235	1315434888887	1315434890063
11	10.416899999999998	0.39961267863940564	1315434890063	1315434891151
12	9.757999999999996	0.33537255027027246	1315434891151	1315434892161
13	9.138700000000002	0.32970343270170116	1315434892162	1315434893129
14	8.668900000000004	0.3535702321899204	1315434893129	1315434894039
15	8.152999999999999	0.3943143902824824	1315434894039	1315434894908
16	7.831599999999998	0.8478871184636486	1315434894908	1315434895734
17	7.333699999999998	0.3720395737612735	1315434895734	1315434896526
18	7.042600000000002	0.35666700651351907	1315434896526	1315434897278
19	6.808200000000002	0.4261203415169381	1315434897278	1315434898004
20	6.5611000000000015	0.423408237229144	1315434898004	1315434898718
21	6.2493	0.39879174839241827	1315434898718	1315434899408
22	6.035500000000002	0.4089142435595146	1315434899408	1315434900063
